timestamp,token_id,best_bid,best_ask,spread,spread_pct,bid_depth,ask_depth,sanity_ok
2026-03-06T10:52:16.807828+00:00,UP:45123001,0.25,0.26,0.010000000000000009,3.8461538461538494,24,51,True,71295.9
2026-03-06T10:52:16.919677+00:00,DOWN:18757419,0.74,0.75,0.010000000000000009,1.3333333333333344,51,24,True,71295.9
2026-03-06T11:09:37.030459+00:00,UP:45123001,0.22,0.24,0.01999999999999999,8.33333333333333,21,52,True,71295.9
2026-03-06T11:09:37.156729+00:00,DOWN:18757419,0.76,0.78,0.020000000000000018,2.5641025641025665,52,21,True,71295.9
2026-03-06T11:27:05.486855+00:00,UP:45123001,0.24,0.25,0.010000000000000009,4.0000000000000036,22,48,True,71295.9
2026-03-06T11:27:05.584562+00:00,DOWN:18757419,0.75,0.76,0.010000000000000009,1.3157894736842117,48,22,True,71295.9
2026-03-06T11:44:39.229734+00:00,UP:45123001,0.2,0.21,0.009999999999999981,4.761904761904753,19,53,True,71295.9
2026-03-06T11:44:39.348380+00:00,DOWN:18757419,0.79,0.8,0.010000000000000009,1.250000000000001,53,19,True,71295.9
2026-03-06T12:02:19.785724+00:00,UP:45123001,0.17,0.18,0.009999999999999981,5.555555555555546,17,56,True,71295.9
2026-03-06T12:02:19.966198+00:00,DOWN:18757419,0.82,0.83,0.010000000000000009,1.204819277108435,56,17,True,71295.9
2026-03-06T12:19:31.000089+00:00,UP:45123001,0.16,0.17,0.010000000000000009,5.8823529411764754,16,55,True,71295.9
2026-03-06T12:19:31.126548+00:00,DOWN:18757419,0.83,0.84,0.010000000000000009,1.1904761904761916,55,16,True,71295.9
2026-03-06T12:37:01.994922+00:00,UP:45123001,0.11,0.12,0.009999999999999995,8.33333333333333,11,60,True,71295.9
2026-03-06T12:37:02.095194+00:00,DOWN:18757419,0.88,0.89,0.010000000000000009,1.1235955056179785,60,11,True,71295.9
2026-03-06T12:54:22.932627+00:00,UP:45123001,0.12,0.13,0.010000000000000009,7.692307692307699,12,54,True,71295.9
2026-03-06T12:54:23.044622+00:00,DOWN:18757419,0.87,0.88,0.010000000000000009,1.1363636363636374,54,12,True,71295.9
2026-03-06T13:11:56.750427+00:00,UP:45123001,0.16,0.17,0.010000000000000009,5.8823529411764754,16,52,True,71295.9
2026-03-06T13:11:56.886566+00:00,DOWN:18757419,0.83,0.84,0.010000000000000009,1.1904761904761916,52,16,True,71295.9
2026-03-06T13:29:08.902634+00:00,UP:45123001,0.18,0.19,0.010000000000000009,5.263157894736847,18,50,True,71295.9
2026-03-06T13:29:09.022743+00:00,DOWN:18757419,0.81,0.82,0.009999999999999898,1.2195121951219388,50,18,True,71295.9
2026-03-06T13:46:33.964733+00:00,UP:45123001,0.12,0.13,0.010000000000000009,7.692307692307699,12,54,True,71295.9
2026-03-06T13:46:34.069826+00:00,DOWN:18757419,0.87,0.88,0.010000000000000009,1.1363636363636374,54,12,True,71295.9
2026-03-06T14:03:51.485061+00:00,UP:45123001,0.08,0.09,0.009999999999999995,11.111111111111107,8,58,True,71295.9
2026-03-06T14:03:51.597697+00:00,DOWN:18757419,0.91,0.92,0.010000000000000009,1.0869565217391313,58,8,True,71295.9
2026-03-06T14:21:06.571666+00:00,UP:45123001,0.04,0.05,0.010000000000000002,20.000000000000004,4,64,True,71295.9
2026-03-06T14:21:06.686313+00:00,DOWN:18757419,0.95,0.96,0.010000000000000009,1.0416666666666676,64,4,True,71295.9
2026-03-06T14:38:30.144585+00:00,UP:45123001,0.015,0.019,0.004,21.05263157894737,11,64,True,71295.9
2026-03-06T14:38:30.338463+00:00,DOWN:18757419,0.981,0.985,0.0040000000000000036,0.406091370558376,64,11,True,71295.9
2026-03-06T14:55:55.226607+00:00,UP:45123001,0.014,0.015,0.0009999999999999992,6.666666666666661,11,71,True,71295.9
2026-03-06T14:55:55.342284+00:00,DOWN:18757419,0.985,0.986,0.0010000000000000009,0.10141987829614613,71,11,True,71295.9
2026-03-06T15:13:28.860679+00:00,UP:45123001,0.013,0.016,0.003000000000000001,18.750000000000007,11,69,True,71295.9
2026-03-06T15:13:28.974762+00:00,DOWN:18757419,0.984,0.987,0.0030000000000000027,0.3039513677811553,69,11,True,71295.9
2026-03-06T15:30:58.359986+00:00,UP:45123001,0.012,0.017,0.005000000000000001,29.411764705882355,10,72,True,71295.9
2026-03-06T15:30:58.506629+00:00,DOWN:18757419,0.983,0.988,0.0050000000000000044,0.5060728744939276,72,10,True,71295.9
2026-03-06T15:48:22.736080+00:00,UP:45123001,0.005,0.006,0.001,16.666666666666664,5,68,True,71295.9
2026-03-06T15:48:22.893477+00:00,DOWN:18757419,0.994,0.995,0.0010000000000000009,0.10050251256281417,68,5,True,71295.9
2026-03-06T16:05:45.091053+00:00,UP:45123001,0.001,0.002,0.001,50.0,1,73,True,71295.9
2026-03-06T16:05:45.209136+00:00,DOWN:18757419,0.998,0.999,0.0010000000000000009,0.10010010010010019,73,1,True,71295.9
2026-03-06T16:22:47.066850+00:00,UP:45123001,0.001,0.003,0.002,66.66666666666666,1,64,True,71295.9
2026-03-06T16:22:47.175830+00:00,DOWN:18757419,0.997,0.999,0.0020000000000000018,0.20020020020020038,64,1,True,71295.9
2026-03-06T16:39:36.034118+00:00,UP:45123001,0.0,0.001,0.0,0.0,0,60,True,71295.9
2026-03-06T16:39:36.140136+00:00,DOWN:18757419,0.999,0.0,0.0,0,60,0,True,71295.9
2026-03-06T16:56:35.527924+00:00,UP:45123001,0.0,0.001,0.0,0.0,0,58,True,71295.9
2026-03-06T16:56:35.643807+00:00,DOWN:18757419,0.999,0.0,0.0,0,58,0,True,71295.9
2026-03-06T17:13:56.608555+00:00,UP:55685775,0.5,0.51,0.010000000000000009,1.960784313725492,50,49,True,68471.56
2026-03-06T17:13:56.730615+00:00,DOWN:86922729,0.49,0.5,0.010000000000000009,2.0000000000000018,49,50,True,68471.56
2026-03-06T17:31:55.588583+00:00,UP:55685775,0.44,0.45,0.010000000000000009,2.222222222222224,44,55,True,68471.56
2026-03-06T17:31:55.691909+00:00,DOWN:86922729,0.55,0.56,0.010000000000000009,1.785714285714287,55,44,True,68471.56
2026-03-06T17:49:34.340878+00:00,UP:55685775,0.37,0.38,0.010000000000000009,2.6315789473684235,37,62,True,68471.56
2026-03-06T17:49:34.453166+00:00,DOWN:86922729,0.62,0.63,0.010000000000000009,1.5873015873015885,62,37,True,68471.56
2026-03-06T18:07:17.568195+00:00,UP:55685775,0.41,0.42,0.010000000000000009,2.380952380952383,41,58,True,68471.56
2026-03-06T18:07:17.676800+00:00,DOWN:86922729,0.58,0.59,0.010000000000000009,1.6949152542372898,58,41,True,68471.56
2026-03-06T18:25:11.118697+00:00,UP:55685775,0.46,0.47,0.009999999999999953,2.1276595744680753,46,53,True,68471.56
2026-03-06T18:25:11.253370+00:00,DOWN:86922729,0.53,0.54,0.010000000000000009,1.8518518518518534,53,46,True,68471.56
2026-03-06T18:43:36.247421+00:00,UP:55685775,0.48,0.5,0.020000000000000018,4.0000000000000036,47,50,True,68471.56
2026-03-06T18:43:36.360344+00:00,DOWN:86922729,0.5,0.52,0.020000000000000018,3.8461538461538494,50,47,True,68471.56
2026-03-06T19:01:33.349172+00:00,UP:55685775,0.44,0.45,0.010000000000000009,2.222222222222224,44,55,True,68471.56
2026-03-06T19:01:33.506789+00:00,DOWN:86922729,0.55,0.56,0.010000000000000009,1.785714285714287,55,44,True,68471.56
2026-03-06T19:19:15.771735+00:00,UP:55685775,0.46,0.47,0.009999999999999953,2.1276595744680753,46,53,True,68471.56
2026-03-06T19:19:15.924024+00:00,DOWN:86922729,0.53,0.54,0.010000000000000009,1.8518518518518534,53,46,True,68471.56
2026-03-06T19:37:09.914918+00:00,UP:55685775,0.44,0.45,0.010000000000000009,2.222222222222224,44,55,True,68471.56
2026-03-06T19:37:10.022617+00:00,DOWN:86922729,0.55,0.56,0.010000000000000009,1.785714285714287,55,44,True,68471.56
2026-03-06T19:54:53.026734+00:00,UP:55685775,0.38,0.4,0.020000000000000018,5.000000000000004,38,59,True,68471.56
2026-03-06T19:54:53.180009+00:00,DOWN:86922729,0.6,0.62,0.020000000000000018,3.2258064516129057,59,38,True,68471.56
2026-03-06T20:12:56.023340+00:00,UP:55685775,0.36,0.37,0.010000000000000009,2.7027027027027053,36,61,True,68471.56
2026-03-06T20:12:56.122564+00:00,DOWN:86922729,0.63,0.64,0.010000000000000009,1.5625000000000013,61,36,True,68471.56
2026-03-06T20:30:43.912417+00:00,UP:55685775,0.32,0.33,0.010000000000000009,3.030303030303033,32,67,True,68471.56
2026-03-06T20:30:44.079539+00:00,DOWN:86922729,0.67,0.68,0.010000000000000009,1.4705882352941189,67,32,True,68471.56
2026-03-06T20:48:29.389608+00:00,UP:55685775,0.36,0.37,0.010000000000000009,2.7027027027027053,36,63,True,68471.56
2026-03-06T20:48:29.489971+00:00,DOWN:86922729,0.63,0.64,0.010000000000000009,1.5625000000000013,63,36,True,68471.56
2026-03-06T21:06:00.236503+00:00,UP:55685775,0.39,0.4,0.010000000000000009,2.500000000000002,39,60,True,68471.56
2026-03-06T21:06:00.450316+00:00,DOWN:86922729,0.6,0.61,0.010000000000000009,1.6393442622950833,60,39,True,68471.56
2026-03-06T21:23:19.126196+00:00,UP:55685775,0.37,0.38,0.010000000000000009,2.6315789473684235,37,62,True,68471.56
